lecke_id;lecke_nev;tipus;eredeti_url;uj_url;codepen_cim
1080;A konstruktor függvények használata;megoldas;https://codepen.io/borzos6-bl/pen/MWyXYRY?editors=0012;https://codepen.io/vikingokft/pen/VYKdjro?editors=0012;Advanced JS - Inheritance - Constructor - Solution
1082;Prototípus metódusok;feladat;https://codepen.io/borzos6-bl/pen/MWyXYRY?editors=0012;https://codepen.io/vikingokft/pen/VYKdjro?editors=0012;Advanced JS - Inheritance - Constructor - Solution
1082;Prototípus metódusok;megoldas;https://codepen.io/borzos6-bl/pen/zYqLGBB?editors=0012;https://codepen.io/vikingokft/pen/YPGvWYK?editors=0012;Advanced JS - Inheritance - Prototype Method - Solution
1085;Az öröklődés használata;feladat;https://codepen.io/borzos6-bl/pen/YzqjOyX?editors=0012;https://codepen.io/vikingokft/pen/RNGJRxN?editors=0012;Advanced JS - OOP - Inheritance
1085;Az öröklődés használata;feladat;https://codepen.io/borzos6-bl/pen/OJNwrNW?editors=0012;https://codepen.io/vikingokft/pen/GgjGqyp?editors=0012;Advanced JS - Inheritance - Inheritance - Assignment
1085;Az öröklődés használata;megoldas;https://codepen.io/borzos6-bl/pen/dyMjQxx?editors=0012;https://codepen.io/vikingokft/pen/gbwKMoP?editors=0012;Advanced JS - Inheritance - Inheritance - Solution
1086;Class-ok használata;feladat;https://codepen.io/borzos6-bl/pen/vYGazJK?editors=0012;https://codepen.io/vikingokft/pen/OPREXzX?editors=0012;Advanced JS - OOP - Classes
1086;Class-ok használata;feladat;https://codepen.io/borzos6-bl/pen/dyMjQxx?editors=0012;https://codepen.io/vikingokft/pen/gbwKMoP?editors=0012;Advanced JS - Inheritance - Inheritance - Solution
1086;Class-ok használata;megoldas;https://codepen.io/borzos6-bl/pen/mdPjaEP?editors=0012;https://codepen.io/vikingokft/pen/wBzXWpo?editors=0012;Advanced JS - Inheritance - Class - Solution
1095;A Module Pattern használata;feladat;https://codepen.io/borzos6-bl/pen/WNrBqKe;https://codepen.io/vikingokft/pen/azmKZLR;Advanced JS - Closures - Wrapped In A Module - Solution
1095;A Module Pattern használata;demo;https://codepen.io/borzos6-bl/pen/pogmXpJ;https://codepen.io/vikingokft/pen/zxKaBEL;Advanced JS - Closures - Module template
1097;A Constructor Pattern használata;feladat;https://codepen.io/borzos6-bl/pen/zYqLGBB;https://codepen.io/vikingokft/pen/YPGvWYK;Advanced JS - Inheritance - Prototype Method - Solution
1097;A Constructor Pattern használata;demo;https://codepen.io/borzos6-bl/pen/WNwBVeX?editors=0012;https://codepen.io/vikingokft/pen/NPRzrXp?editors=0012;Advanced JS - Inheritance - Constructor - Template
1099;Az ES6 classok használata;demo;https://codepen.io/borzos6-bl/pen/mdPjaEP;https://codepen.io/vikingokft/pen/wBzXWpo;Advanced JS - Inheritance - Class - Solution
1099;Az ES6 classok használata;demo;https://codepen.io/borzos6-bl/pen/vYGazJK;https://codepen.io/vikingokft/pen/OPREXzX;Advanced JS - OOP - Classes
